stop_loss_pct,n_trades,total_return_pct,sharpe,max_drawdown_pct,win_rate_pct,profit_factor,worst_trade_pct,avg_trade_bps
none,401,-100.44776921412458,3.772519380045346,-100.40450212177909,59.85037406483791,1.2739906323382455,-100.05,95.60107128562515
5.0,401,4061417.4380601277,17.472896987874115,-23.502950254053534,59.85037406483791,3.0594805598347183,-5.050000000000001,299.22872201263215
8.0,401,465390.37009149836,13.643556259902141,-43.904190609889135,59.85037406483791,2.2698525381373416,-8.05,248.68461957758694
10.0,401,152678.9737270622,11.83358020708267,-54.97800247259962,59.85037406483791,2.0103952815851245,-10.05,223.4102692916711
15.0,401,17966.00495185532,8.70076703244651,-72.15069263865327,59.85037406483791,1.660041101553585,-15.049999999999999,176.74430064255122
20.0,401,4849.824420991943,7.033425006204111,-79.22174626825125,59.85037406483791,1.5095394822632382,-20.05,150.0467675220303
25.0,401,2083.491600178009,6.082547453069179,-82.19269952452791,59.85037406483791,1.4324169183021842,-25.05,134.1919656280853
30.0,401,1144.6209766953207,5.484738721816854,-84.48934099366468,59.85037406483791,1.3869266849915216,-30.049999999999997,124.01335509680784
40.0,401,523.9105437654641,4.827592875664212,-87.02570831434409,59.85037406483791,1.339579917240496,-40.050000000000004,112.68514010288834
50.0,401,347.3214449105067,4.556871818599807,-88.61165097154358,59.85037406483791,1.321204393266657,-50.05,108.0698992157997
