min_volume_usd,n_symbols,n_periods,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,win_rate_pct,avg_period_ret_bps,signal,n,direction,side
1000000,697,401,246.747807217546,198318.0964494099,6.151823977045644,-23.33944138359515,57.107231920199496,35.00757950177005,chg_30m,10,reversion,short_only
5000000,621,401,176.1288418378049,49289.97456830086,4.964938636150679,-24.988858755248366,57.107231920199496,29.76714726712242,chg_30m,10,reversion,short_only
20000000,452,401,185.62002359410226,60610.36247928648,5.03588614979853,-21.83116403396714,56.10972568578554,30.785868471807238,chg_30m,10,reversion,short_only
50000000,327,401,66.05249935561437,2112.705066849898,2.8829644164641444,-28.94662261348293,52.618453865336654,16.806556217492513,chg_30m,10,reversion,short_only
