stop_loss_pct,risk_pct_per_trade,notional_pct_of_equity,total_return_pct,sharpe,max_drawdown_pct,profit_factor,worst_trade_pct
10,0.25,2.5,24.96296423280011,11.833580207082669,-1.7229461000843105,2.010395281585124,-0.25125
10,0.5,5.0,55.809628470281595,11.833580207082669,-3.428821478936883,2.010395281585124,-0.5025
10,1.0,10.0,140.62975090956917,11.833580207082669,-6.788803461362825,2.010395281585124,-1.005
15,0.25,1.6666666666666667,12.475014983474452,8.70076703244651,-1.84301895841672,1.6600411015535852,-0.25083333333333335
15,0.5,3.3333333333333335,26.36431630035552,8.70076703244651,-3.660461432241535,1.6600411015535852,-0.5016666666666667
15,1.0,6.666666666666667,58.967041354806526,8.70076703244651,-7.219332581837912,1.6600411015535852,-1.0033333333333334
20,0.25,1.25,7.773869995588845,7.033425006204111,-1.683386873590642,1.5095394822632382,-0.250625
20,0.5,2.5,16.071887572375765,7.033425006204111,-3.3444418980255297,1.5095394822632382,-0.50125
20,1.0,5.0,34.356154670457585,7.033425006204111,-6.600310973169243,1.5095394822632382,-1.0025
25,0.25,1.0,5.503650060487497,6.082547453069179,-1.4669263755231365,1.4324169183021842,-0.2505
25,0.5,2.0,11.257817059958807,6.082547453069179,-2.916715254090252,1.4324169183021842,-0.501
25,1.0,4.0,23.55052499404686,6.082547453069179,-5.765416233610521,1.4324169183021842,-1.002
30,0.25,0.8333333333333334,4.2133154103120685,5.484738721816855,-1.3061009777525556,1.3869266849915218,-0.2504166666666667
30,0.5,1.6666666666666667,8.566950048252565,5.484738721816855,-2.5985693538890686,1.3869266849915218,-0.5008333333333334
30,1.0,3.3333333333333335,17.706561925131936,5.484738721816855,-5.142998348950578,1.3869266849915218,-1.0016666666666667
