cost_bps_per_leg,n_periods,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,win_rate_pct,avg_period_ret_bps,signal,n,direction,side
5,401,246.747807217546,198318.0964494099,6.151823977045644,-23.33944138359515,57.107231920199496,35.00757950177005,chg_30m,10,reversion,short_only
10,401,183.89075051085095,58400.227715726745,5.273182256509868,-24.379308510132947,56.10972568578554,30.007579501770056,chg_30m,10,reversion,short_only
20,401,90.23748509724567,4975.924264856283,3.5158988154383164,-29.823471559160673,53.11720698254364,20.007579501770064,chg_30m,10,reversion,short_only
30,401,27.428648796805376,339.3503441926212,1.758615374366764,-36.65647296090936,50.374064837905244,10.007579501770067,chg_30m,10,reversion,short_only
50,401,-42.89343547412609,-96.73255030221264,-1.7559515077763417,-50.24452932018786,47.13216957605985,-9.992420498229931,chg_30m,10,reversion,short_only
