n_periods,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,win_rate_pct,avg_period_ret_bps,signal,n,direction,side
195,121.61028801500015,1944102.0786785805,8.395645283947344,-14.69877380457768,57.43589743589743,44.208986031177375,chg_30m,5,reversion,long_short
195,201.20021138217433,87609778.80755222,7.962260961538909,-22.978546913079356,60.0,64.61363074324582,chg_30m,5,reversion,short_only
195,100.65297954746248,566562.2182012614,7.66511243304384,-23.339441383595137,59.48717948717949,38.848257686223455,chg_30m,10,reversion,short_only
195,44.417414648423346,9468.970099471982,6.157488164821372,-10.548690998543076,55.8974358974359,20.153965571791062,chg_30m,10,reversion,long_short
195,51.82714991364754,17704.552991518805,5.983106023849092,-21.31679102089903,54.35897435897436,23.254765603684387,chg_24h,10,reversion,long_short
195,99.19418785613541,517504.26798809296,5.838733735609391,-41.67704781854932,53.84615384615385,41.54951647103796,chg_24h,10,reversion,short_only
195,50.4589736019712,15812.683388500958,5.225421570181055,-15.510553521929271,54.871794871794876,23.3889251487356,chg_30m,15,reversion,short_only
195,63.66554039982526,45105.492550883755,5.076526068551185,-19.564627178567427,57.948717948717956,29.30277845733585,chg_1w,5,momentum,short_only
195,73.66611078910883,94272.11199162088,4.816680350797066,-34.57926293940905,56.41025641025641,34.53595439257475,chg_15m,5,reversion,short_only
195,38.37132933220322,5528.209213899909,4.816471280054068,-16.740231583371546,56.92307692307692,18.44187784975527,chg_open_1d,10,reversion,long_short
195,25.43339813151091,1564.5592831921124,4.5750698367355005,-12.077600431941892,54.871794871794876,12.531993293605158,chg_24h,15,reversion,long_short
195,12.968539738659391,354.14887562952975,4.157793182698441,-8.027053076282264,51.7948717948718,6.554064378773385,chg_30m,30,reversion,long_short
195,30.784302731485447,2695.4087318635948,4.119337420585345,-12.564551307495664,53.84615384615385,15.464473722353251,chg_30m,20,reversion,short_only
195,31.253381908527288,2822.410762916805,4.118235645910181,-24.124553826119932,52.307692307692314,15.693068162819705,chg_15m,15,reversion,short_only
195,47.896556970851,12757.75281654769,4.083919182011525,-25.46747008225172,54.35897435897436,24.347446044286052,chg_1w,5,momentum,long_short
195,18.381849333917977,711.8243792709244,3.9619495153935937,-5.5178562451746345,51.28205128205128,9.322022349977376,chg_15m,15,reversion,long_short
195,19.40261934753138,803.09899512996,3.894464088716544,-10.491856387151044,53.333333333333336,9.871317652524539,chg_30m,15,reversion,long_short
195,39.53088860894978,6142.331481828941,3.8246713012638525,-36.133467085489116,54.871794871794876,20.626854852905236,chg_24h,15,reversion,short_only
195,17.37708113725429,630.3362979476638,3.77179345676615,-13.259449720982342,52.820512820512825,8.888270856298327,chg_open_1d,20,reversion,long_short
195,29.88084787194303,2464.9871384860176,3.721037417187483,-23.74635667726913,52.307692307692314,15.508183221741941,chg_open_1d,20,reversion,short_only
195,44.034728740263176,9159.012491634358,3.608272556654849,-39.64060714822224,55.38461538461539,24.29103288715306,chg_open_1d,10,reversion,short_only
195,32.905620080070584,3313.2050922308736,3.5809149559520717,-13.172381112047537,54.35897435897436,17.449584418884196,chg_15m,5,reversion,long_short
195,20.487950061660708,910.4233258155359,3.5745550177142826,-15.686780319949122,52.820512820512825,10.63045645588058,chg_open_1d,15,reversion,long_short
195,34.04828713776593,3695.7840057810586,3.527106613892201,-32.01196616652038,53.84615384615385,18.29551021800788,chg_open_1d,15,reversion,short_only
195,24.43055752554546,1406.7338866849332,3.454263530474884,-17.202610427625796,52.820512820512825,12.890777228640617,chg_1w,10,momentum,long_short
195,21.02743085196974,968.0241288405424,3.4412690873186795,-22.16465277392644,52.820512820512825,11.021629097473031,chg_open_1d,30,reversion,short_only
195,28.360051521022612,2116.1828764632273,3.3293992789298192,-31.079370631877524,49.743589743589745,15.350811991318642,chg_15m,10,reversion,short_only
195,37.072600521631486,4906.634771206378,3.2179369654328056,-28.68788797244113,52.820512820512825,21.565421673978527,chg_1w,10,momentum,long_only
195,40.06325776109574,6444.419512148577,3.2155024588045515,-31.836859979482156,53.84615384615385,23.804341319108904,chg_30m,5,reversion,long_only
195,10.401657901376549,241.4471332683664,3.1125315688328676,-10.130530319873344,51.28205128205128,5.4435712539948655,chg_open_1d,30,reversion,long_short
195,29.28499328090084,2322.716619578407,3.0775249378483234,-36.15277480579262,49.743589743589745,16.83420569107515,chg_1m,5,momentum,short_only
195,13.136642276658094,362.60699887666084,3.0673554547038884,-10.706799932415901,55.38461538461539,6.951554713588452,chg_24h,20,reversion,long_short
195,17.944519296370665,675.3806255147152,3.0565794249653546,-15.849829339282607,51.7948717948718,9.666973968756048,chg_15m,20,reversion,short_only
195,23.47238836241834,1268.9072178398621,3.0187576930069677,-30.194327152275825,52.307692307692314,13.092179919356115,chg_24h,20,reversion,short_only
195,16.83744181478424,589.7430671689514,2.9902588474549407,-13.398226581638994,49.743589743589745,9.091739538314263,chg_30m,30,reversion,short_only
195,15.87025982580208,522.1381375032867,2.85078553050159,-7.609266737578491,52.307692307692314,8.66537429406534,chg_15m,10,reversion,long_short
195,21.77371988498504,1052.6900406283887,2.759620308563719,-32.21541000519915,50.256410256410255,12.592722812357474,chg_open_1d,10,reversion,long_only
195,8.77978181959682,184.1579678876373,2.367911630378075,-8.777166863368201,49.23076923076923,4.813831049782807,chg_30m,20,reversion,long_short
195,16.32559654158088,553.1677388455146,1.989043475785425,-29.440794466569443,52.820512820512825,12.617968784574199,chg_24h,5,reversion,long_short
195,8.493583360853663,175.01810364867066,1.793340561215968,-59.96178440801535,50.256410256410255,20.70453166934236,chg_24h,5,reversion,short_only
195,10.99110695929002,264.77283228115,1.7911515985006554,-63.98008133896236,54.35897435897436,19.39211363123625,chg_1w,5,momentum,long_only
195,6.007021664868217,106.25317043219198,1.755652582195396,-6.542502740531242,50.256410256410255,3.4583811992877185,chg_15m,20,reversion,long_short
195,10.796150418270578,256.9006767532815,1.7316775691110664,-28.8107221415715,50.256410256410255,7.533846797422653,chg_5m,10,reversion,short_only
195,7.426429888535124,143.26892217042567,1.6921288773271463,-12.96835008862569,54.35897435897436,4.539112713497769,chg_5m,10,reversion,long_short
195,6.315108295438421,113.81664284159685,1.4915579352417816,-15.474545147393359,54.35897435897436,4.016389219232505,chg_30m,30,reversion,long_only
195,4.3229111233491935,69.07931443009979,1.4452113293901785,-9.221898925451743,54.35897435897436,2.544001625405073,chg_24h,30,reversion,long_short
195,6.806415665744403,126.40736961881163,1.3967826443964257,-23.64462840762941,49.743589743589745,4.795875516774293,chg_24h,30,reversion,short_only
195,6.366616264183911,115.10575430911345,1.3652318573340205,-22.917525905682943,50.76923076923077,4.437131734305084,chg_24h,15,reversion,long_only
195,5.7067115236578925,99.11810158566558,1.1852468271048484,-30.950241219384502,48.205128205128204,4.960014736330817,chg_24h,10,reversion,long_only
195,5.038977938493883,84.05928296852674,1.172043867112254,-46.258046954650744,51.7948717948718,7.630981454969759,chg_open_1d,5,momentum,short_only
195,5.36732474605266,91.32818273438814,1.1426478748868134,-35.95925377483194,54.35897435897436,5.597324842868948,chg_1m,15,reversion,short_only
195,4.606482816640334,74.87211321905683,1.0607474045557659,-26.841771617487066,51.7948717948718,4.2161327833026965,chg_1w,10,momentum,short_only
195,3.9234884784512536,61.218841939239674,1.0121402461736466,-27.413178684120865,51.28205128205128,5.531292308587385,chg_1m,5,momentum,long_short
195,2.9413524337817076,43.29769630677425,0.8445042699538303,-32.11271686534636,49.23076923076923,2.9654026937532785,chg_open_1d,15,reversion,long_only
195,2.7613511981973593,40.21900623282415,0.8218427725348524,-19.664048804081645,50.256410256410255,2.950976537135052,chg_15m,15,reversion,long_only
195,2.284638871614808,32.35685155550063,0.7463734870233504,-33.851504564416814,48.205128205128204,2.2683584908547116,chg_open_1d,20,reversion,long_only
195,-1.3119614167729887,-15.116524856352909,0.6891598152378662,-48.338619060013585,51.28205128205128,4.531405899806014,chg_24h,5,reversion,long_only
195,1.203602033418294,16.00629231611732,0.5865475490045321,-8.260057396393272,48.205128205128204,0.8908439700393613,chg_15m,30,reversion,long_short
195,-16.592720449319753,-89.47680012536414,0.5208566253907558,-64.91632431715439,51.28205128205128,5.715469313620097,chg_open_1d,5,reversion,short_only
195,0.3543612922978445,4.487598195325093,0.47617723736952056,-24.53332713070423,52.820512820512825,1.6760822967033695,chg_1w,15,momentum,short_only
195,-0.7309571891571665,-8.702275129558624,0.44776688862412006,-27.33167055358504,44.61538461538462,1.979936596812032,chg_15m,10,reversion,long_only
195,-4.432365306442243,-43.02830104460843,0.4185605821396165,-34.2903066133858,50.76923076923077,2.7054577296007394,chg_5m,5,reversion,short_only
195,-1.3517137333988738,-15.539867591917034,0.35838194246570226,-36.58473657679009,47.179487179487175,1.5443786295728883,chg_5m,10,reversion,long_only
195,0.1619709611236697,2.0287241745388984,0.3492733965367992,-17.102986215726567,45.64102564102564,0.924628102384844,chg_15m,30,reversion,short_only
195,-0.07853320639561456,-0.9702358252447585,0.3150799522169576,-14.084429017173461,54.35897435897436,0.8570598376938802,chg_15m,30,reversion,long_only
195,-2.438449882081606,-26.387853332560084,0.3063889366401947,-35.32263640499585,46.15384615384615,1.4596734573586747,chg_30m,10,reversion,long_only
195,-0.20533452049579237,-2.5185454871838875,0.2940342810353094,-24.77043238002513,50.76923076923077,0.8109295078207891,chg_24h,20,reversion,long_only
195,-0.5682979212236594,-6.828326843122556,0.2544372685688382,-16.752686562862262,51.28205128205128,0.7482026378526252,chg_1w,15,momentum,long_short
195,-0.9921271065369219,-11.638776570609732,0.13399551304535648,-19.088609344613396,52.307692307692314,0.35940839478291986,chg_1m,15,reversion,long_short
