period,n_periods,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,win_rate_pct,avg_period_ret_bps,signal,n,direction,side
July (in-sample),206,511.91026102005884,360623479850.80255,12.188054839516939,-18.67272229362348,56.79611650485437,95.72892778243839,chg_30m,5,momentum,short_only
August (out-of-sample),195,-54.706838078038466,-99.99461241166281,-4.566307513940992,-69.62407492251006,45.12820512820513,-33.804341319108914,chg_30m,5,momentum,short_only
